date,global_solar_mj_m2,data_completeness_x,mean_relative_humidity_percent,data_completeness_y,bright_sunshine_hours,data_completeness,solar_source_type,humidity_source_type,sunshine_source_type
2025-08-24,16.89,C,79.0,C,4.6,C,official_open_data,official_open_data,official_open_data
2025-08-25,18.84,C,78.0,C,7.0,C,official_open_data,official_open_data,official_open_data
2025-08-26,25.4,C,74.0,C,10.4,C,official_open_data,official_open_data,official_open_data
2025-08-27,23.13,C,75.0,C,10.6,C,official_open_data,official_open_data,official_open_data
2025-08-28,9.12,C,77.0,C,0.2,C,official_open_data,official_open_data,official_open_data
2025-08-29,15.7,#,73.0,C,8.6,C,official_open_data,official_open_data,official_open_data
2025-08-30,12.08,#,80.0,C,4.2,C,official_open_data,official_open_data,official_open_data
2025-08-31,15.54,#,78.0,C,8.4,C,official_open_data,official_open_data,official_open_data
2025-09-01,20.12,#,77.0,C,9.2,C,official_open_data,official_open_data,official_open_data
2025-09-02,24.07,C,77.0,C,10.5,C,official_open_data,official_open_data,official_open_data
2025-09-03,23.15,C,75.0,C,10.5,C,official_open_data,official_open_data,official_open_data
2025-09-04,26.04,C,74.0,C,10.4,C,official_open_data,official_open_data,official_open_data
2025-09-05,25.74,C,72.0,C,11.0,C,official_open_data,official_open_data,official_open_data
2025-09-06,16.45,C,73.0,C,7.7,C,official_open_data,official_open_data,official_open_data
2025-09-07,10.34,C,87.0,C,2.8,C,official_open_data,official_open_data,official_open_data
2025-09-08,6.6,C,88.0,C,0.4,C,official_open_data,official_open_data,official_open_data
2025-09-09,9.79,C,86.0,C,1.4,C,official_open_data,official_open_data,official_open_data
2025-09-10,19.59,C,82.0,C,6.1,C,official_open_data,official_open_data,official_open_data
2025-09-11,12.39,C,81.0,C,5.6,C,official_open_data,official_open_data,official_open_data
2025-09-12,25.3,C,75.0,C,10.3,C,official_open_data,official_open_data,official_open_data
2025-09-13,25.53,C,73.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-09-14,17.39,C,75.0,C,8.4,C,official_open_data,official_open_data,official_open_data
2025-09-15,22.8,C,75.0,C,8.6,C,official_open_data,official_open_data,official_open_data
2025-09-16,17.95,C,76.0,C,6.7,C,official_open_data,official_open_data,official_open_data
2025-09-17,18.84,C,77.0,C,6.7,C,official_open_data,official_open_data,official_open_data
2025-09-18,20.33,C,74.0,C,8.2,C,official_open_data,official_open_data,official_open_data
2025-09-19,5.0,C,72.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-09-20,2.21,C,93.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-09-21,2.65,C,95.0,C,0.0,C,official_open_data,official_open_data,official_open_data
2025-09-22,20.46,C,73.0,C,8.6,C,official_open_data,official_open_data,official_open_data
2025-09-23,10.23,C,67.0,C,0.6,C,official_open_data,official_open_data,official_open_data
2025-09-24,1.52,C,93.0,#,0.0,C,official_open_data,official_open_data,official_open_data
2025-09-25,9.15,C,87.0,C,2.2,C,official_open_data,official_open_data,official_open_data
2025-09-26,22.53,C,77.0,C,10.0,C,official_open_data,official_open_data,official_open_data
2025-09-27,24.53,C,72.0,C,11.1,C,official_open_data,official_open_data,official_open_data
2025-09-28,17.17,C,80.0,C,6.1,C,official_open_data,official_open_data,official_open_data
2025-09-29,22.7,C,80.0,C,10.2,C,official_open_data,official_open_data,official_open_data
2025-09-30,20.66,C,76.0,C,10.1,C,official_open_data,official_open_data,official_open_data
2025-10-01,18.59,C,75.0,C,10.7,C,official_open_data,official_open_data,official_open_data
2025-10-02,24.02,C,77.0,C,10.9,C,official_open_data,official_open_data,official_open_data
2025-10-03,23.34,C,74.0,C,10.1,C,official_open_data,official_open_data,official_open_data
2025-10-04,17.76,C,69.0,C,6.9,C,official_open_data,official_open_data,official_open_data
2025-10-05,8.05,C,82.0,C,1.3,C,official_open_data,official_open_data,official_open_data
2025-10-06,15.48,C,83.0,C,5.3,C,official_open_data,official_open_data,official_open_data
2025-10-07,20.25,C,72.0,C,10.0,C,official_open_data,official_open_data,official_open_data
2025-10-08,19.78,C,70.0,C,9.7,C,official_open_data,official_open_data,official_open_data
